,date,location,location_name,value
0,2021-05-22,33,New Hampshire,6
1,2021-05-20,20,Kansas,29
2,2021-05-18,30,Montana,16
3,2021-05-17,29,Missouri,45
4,2021-05-17,32,Nevada,41
5,2021-05-15,31,Nebraska,7
6,2021-05-13,33,New Hampshire,7
7,2021-05-12,23,Maine,17
8,2021-05-11,02,Alaska,2
9,2021-05-10,33,New Hampshire,10
10,2021-05-10,44,Rhode Island,10
11,2021-05-08,31,Nebraska,8
12,2021-05-06,16,Idaho,11
13,2021-05-05,16,Idaho,12
14,2021-05-04,16,Idaho,13
15,2021-05-04,38,North Dakota,9
16,2021-05-03,02,Alaska,5
17,2021-05-02,25,Massachusetts,52
18,2021-05-01,31,Nebraska,13
19,2021-04-29,31,Nebraska,15
20,2021-04-29,50,Vermont,3
21,2021-04-28,19,Iowa,34
22,2021-04-26,19,Iowa,39
23,2021-04-23,44,Rhode Island,10
24,2021-04-22,44,Rhode Island,9
25,2021-04-21,19,Iowa,37
26,2021-04-20,02,Alaska,7
27,2021-04-19,56,Wyoming,4
28,2021-04-18,33,New Hampshire,17
29,2021-04-18,72,Puerto Rico,56
30,2021-04-17,16,Idaho,14
31,2021-04-16,19,Iowa,29
32,2021-04-16,30,Montana,13
33,2021-04-14,19,Iowa,42
34,2021-04-13,09,Connecticut,80
35,2021-04-13,15,Hawaii,6
36,2021-04-13,56,Wyoming,10
37,2021-04-12,32,Nevada,40
38,2021-04-10,56,Wyoming,5
39,2021-04-08,02,Alaska,2
40,2021-04-08,53,Washington,52
41,2021-04-07,15,Hawaii,4
42,2021-04-07,38,North Dakota,13
43,2021-04-06,33,New Hampshire,15
44,2021-04-05,22,Louisiana,53
45,2021-04-04,02,Alaska,3
46,2021-04-04,38,North Dakota,9
47,2021-04-02,02,Alaska,2
48,2021-04-02,37,North Carolina,104
49,2021-04-01,09,Connecticut,85
50,2021-04-01,15,Hawaii,7
51,2021-04-01,23,Maine,10
52,2021-03-31,02,Alaska,9
53,2021-03-31,35,New Mexico,18
54,2021-03-30,02,Alaska,7
55,2021-03-29,28,Mississippi,27
56,2021-03-29,38,North Dakota,5
57,2021-03-28,30,Montana,8
58,2021-03-27,25,Massachusetts,96
59,2021-03-27,54,West Virginia,29
60,2021-03-26,35,New Mexico,18
61,2021-03-25,30,Montana,12
62,2021-03-25,31,Nebraska,11
63,2021-03-23,09,Connecticut,90
64,2021-03-23,35,New Mexico,17
65,2021-03-16,23,Maine,8
66,2021-02-22,22,Louisiana,79
67,2021-02-17,44,Rhode Island,14
68,2021-02-12,32,Nevada,91
69,2021-02-04,09,Connecticut,131
70,2021-02-01,21,Kentucky,304
71,2021-01-25,25,Massachusetts,224
72,2021-01-19,20,Kansas,110
73,2021-01-19,46,South Dakota,10
74,2021-01-16,28,Mississippi,113
75,2021-01-12,05,Arkansas,189
76,2021-01-12,27,Minnesota,92
77,2021-01-12,32,Nevada,154
78,2021-01-09,44,Rhode Island,33
79,2021-01-08,27,Minnesota,98
80,2021-01-07,44,Rhode Island,34
81,2021-01-06,44,Rhode Island,29
82,2021-01-05,44,Rhode Island,40
83,2020-12-31,72,Puerto Rico,33
84,2020-12-30,44,Rhode Island,41
85,2020-12-29,27,Minnesota,116
